Questions,Answers
Katherine Waterston and Chrisann Brennan has what in common?,Steve Jobs
"The voice of Homer Simpson also voices what alien character in the television series ""The Simpsons""?",Kodos
What studio album did Kanye West record with Roc-A-Fella Records and soul singer Dwele?,My Beautiful Dark Twisted Fantasy
Were Enrique Carreras and Lionel Ngakane both filmakers during the 20th century? ,yes
The city that contains the Yunnan Provincial Museum is also known by what nickname?,Spring city
"Where is the singer of ""B Boy"" raised?",Philadelphia
The Column of Saint Zanobi  is a monumental marble column located just north of religious building with the status of what?,a minor basilica
The Ingerophrynus gollum is named after a character in a book that sold how many copies?,150 million copies
"What Danish eurodance group had a single called ""Barbie Girl"" which resulted in a lawsuit in 2002?",Aqua
"Which case was decided first, Selle v. Gibb or Reynolds v. Sims?",1964
Mamie Gummer played the role of Nancy Crozier on the TV series airing on what network?,CBS
What country do both Adnan Akmal and Kamran Akmal represent in cricket?,Pakistani
Did Franki Valli sing with Hellogoodbye or The Four Seasons?,The Four Seasons
Both Sorbaria and Goldenrod are a genus of more than 50 flowering plants?,no
"What is the capacity of the Stadium, other than Kauffman Stadium, designed by Charles Deaton ? ","76,416"
"Who is the current drummer of the band who did the song ""What Lovers Do""?",Matt Flynn
What 2017 Christopher B. Landon directed American slasher film is Jessica Rothe starring in?,Happy Death Day
Who was the president of the Sinn Fein political party during the Hume-Adams Dialogue?,"Gerard ""Gerry"" Adams"
Which of these battles occurred earlier--the Battle of Peleliu or the Battle of Belleau Wood?,The Battle of Belleau Wood
Garden Island Naval Chapel is the oldest Chistian chapel of a naval branch of what defence force?,Australian Defence Force
Július Satinský was born in a city that has a current population of what?,"about 450,000"
"What was the name of the 19th century foundry which was located in a village directly across the Hudson River from Westpoint in Putnam County, New York?",West Point Iron and Cannon Foundry
What fictional character created by Tom Clancy was turned into a film in 2002?,Jack Ryan
Wheat salad is composed typically of what red fruit?,tomato
What year did the biographical-comedy-crime film directed by Steven Soderbergh about the highest-level corporate executive whistleblower come out?,2009
"when was the album that includes the song by Dustin Lynch released to country radio on February 17, 2017?",8-Sep-17
"Which playwright lived a longer life, Edward Albee or J. M. Barrie?",Edward Franklin Albee III
Are both Rutgers University and Carnegie Mellon University located in America?,yes
"Vanessa Bley is what person who organizes and often finances concerts, plays, or operas, performing a role?",impresario
Were Thomas H. Ince and Joseph McGrath of the same nationality?,no
Are Phlebodium and Pieris both species of ferns?,no
Bartlett's Bridge was built by the engineer who worked for the county seat of which Massachusetts county?,Worcester County
"Which novelist, J. G. Farrell or Louis Aragon, wrote of the political and human consequences of his country's colonial rule?",Farrell
What city did the characters from Gargoyles the Movie: The Heroes Awaken wake up in after being in an enchantedly petrified state for a thousand years?,modern-day New York City
Who were the producers of the show for which Chris McKay made his feature film directorial debut?,"Dan Lin, Roy Lee, Phil Lord and Christopher Miller"
The Waterloo Vase has been used as a garden ornament at whose residence and administrative headquarters?,reigning monarch of the United Kingdom
Scott Sandelin grew up in a town in what Minnesota county?,Saint Louis County
The 37th Disney animated feature film Tarzan features You'll be in my heart by which artist?,Phil Collins
What type of media does J. T. Petty and Outlast have in common?,video game
"Where did the architect of the Governor's House, located in Knutsford, graduate from college?",Cambridge University
" What is the latest album of Tim Hecker, the Canadian electronic music maker?",Love Streams
What is the name of this Fortune 500 American company that operates a chain of retail home improvement stores that sponsored House Rules?,Lowe's
"For what ""first"" was Ivory Lee Brown's nephew credited for in Heisman Trophy balloting?",first freshman to finish as the runner-up
"Haruki Murakami said that writing ""Dance Dance Dance"" had been a healing act after his unexpected fame following the publication of a novel published in which year ?",1987
Erica Packer was the second wife of what Australian businessman?,James Packer
What type of media does Bitter Jester and Sicko have in common?,documentary
"What country does Eric A. Sykes and Eccles, Greater Manchester have ion common?",England
"What South Korean actor was a member of the pop duo TVXQ and stared in Heading to the Ground, a 2009 MBC television series?",Jung Yun-ho
"which is traditionally drunk before retiring to bed, Hot toddy or Kir?",Hot toddy
"What year was the film ""Mom"" released, starring the voice of Shashaa Tirupati?",2017
For One Night Only was hosted by the man most well-known for hosting what show from 1962 until 1999?,The Late Late Show
What company did Roscoe Channing form with the owner of a leading stable of thoroughbred racehorses?,Hudson Bay Mining and Smelting Company
"Jens Risom introduced what type of design, characterized by minimalism and functionality?",Scandinavian design
Which of the movie which has Rich Lee 3-D previsualizations was directed by Francis Lawrence?,Constantine
What criteria subjectively qualifies the Houston Astrodome to be called the Eighth Wonder of the World?,comparable to the seven Wonders of the World
"Who was born first, José Echegaray y Eizaguirre or P. J. O'Rourke?",José Echegaray y Eizaguirre
Who did the Doncaster Belles play in the 1994 FA Women's Cup Final held at Glanford Park? ,Knowsley United Women
What act for Innocent Records achieved Platinum sales and shares its name with a primary color in the RGB color model?,Blue
"What national historic district is located near a village in the town of Philipstown, New York?",Valhalla Highlands Historic District
Which American writer wrote both The Ganymede Takeover (1967) and The Man in the High Castle (1962)?,Philip K. Dick
Curt Menefee is the host of the Fox network's NFL show with co-host Michael Anthony Strahan who spent his entire 15-year career with what team?,New York Giants
Francisco Jose Hernandez was a participant in an invasion that took place in what year?,1961
Dead but Rising was a song by the Danish band fomed in what city in 2001?,Copenhagen
"The man, who the award in which ""Summer of the Monkeys"" won, was a spokesman for white sector of America?",middle America
Which lead actor/actress in War Chhod Na Yaar has also acted in Bengali and English-language films?,Soha Ali Khan
What type of movie are Wishing Stairs and Voice?,South Korean horror film
"Which cast member of Alice Upside Down also stars in the ABC Family/Freeform drama ""Switched at Birth?""",Lucas Stephen Grabeel
